type,timestamp,positions,velocities,torques
STATE_MOTOR,4.617031663656235,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,20100.238965824246,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,40157.253039069474,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,60214.5780576393,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,80280.3459810093,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.410652, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,100340.11397510767,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,120397.19801396132,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140453.01103033125,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.387838, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,160512.27902062237,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.022814, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,180571.13606482744,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,200630.97402453423,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,220668.34999714047,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.0, 0.0]"
STATE_MOTOR,240726.75604838878,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.022814, 0.0]"
STATE_MOTOR,260784.792015329,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,280841.8460190296,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.387838, 0.0, 0.022814, 0.0]"
STATE_MOTOR,300901.3240225613,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,320961.6739768535,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.0, 0.0]"
STATE_MOTOR,341018.0270439014,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.479094, 0.0, 0.0, 0.022814]"
STATE_MOTOR,361075.89304447174,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.022814, 0.0]"
STATE_MOTOR,381133.3980411291,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,401193.01597587764,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.410652, 0.0, 0.0, 0.0]"
STATE_MOTOR,421249.9699788168,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.479094, 0.0, 0.022814, 0.0]"
STATE_MOTOR,441307.1150192991,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.524722, 0.0, 0.0, 0.0]"
STATE_MOTOR,461371.4599981904,"[-0.011504855909142308, 0.007669903939428206, 0.5775437666389439, -0.0015339807878856412, 0.010737865515199488, 0.4983585029546947]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.501908, 0.0, 0.022814, 0.022814]"
