type,timestamp,positions
CONTROL,5.759298801422119,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20086.067263036966,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40147.20814302564,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60208.47801119089,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80271.21098712087,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100331.73998817801,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120393.82196962833,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140453.6901973188,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160513.68927583098,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180570.78309357166,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200629.25899401307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220696.3379867375,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240755.81599026918,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260814.98293206096,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280880.5201202631,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300938.0451403558,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321018.27301084995,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341081.97689056396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361144.31032910943,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381211.49921789765,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401269.1043317318,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421327.690128237,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441394.19915154576,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461453.9071917534,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481520.3249454498,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501582.3361463845,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521643.7471099198,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541704.2663320899,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561762.4721489847,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581827.9893137515,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601888.9592960477,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621953.0929811299,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642016.7172327638,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662075.9349316359,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682139.9088948965,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702200.4988975823,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722260.8979791403,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
