type,timestamp,positions
CONTROL,5.4282136261463165,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20093.479193747044,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40154.52926978469,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60216.641053557396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80276.76912024617,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100335.63617616892,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120398.94005283713,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140456.1442323029,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160516.51304587722,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180580.43718338013,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200639.7652439773,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220703.27820256352,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240770.65801247954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260831.53812214732,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280896.4941650629,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300957.1931324899,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,321025.24396032095,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341084.0001888573,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361144.1091634333,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381209.9262140691,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401270.25498077273,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421332.0962153375,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441391.54395088553,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461451.7232403159,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481510.5199813843,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501569.3372115493,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521634.73330438137,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541703.6153376102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561768.0801078677,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581830.1211111248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601888.1271593273,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621951.8510624766,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,642012.7609744668,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662071.1572468281,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682132.7982470393,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702190.7642483711,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722252.2753290832,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742309.5991834998,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762368.7759041786,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782430.1673099399,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802487.5819683075,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822547.6201623678,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842608.239967376,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862665.0338992476,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882725.9731478989,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902786.1021459103,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922848.2441976666,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942907.3911160231,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962965.3561860323,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,983025.6449058652,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003084.7322195768,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023179.623298347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043239.5609095693,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063299.0589365363,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083355.532027781,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103419.1260114312,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123478.2030805945,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143540.2152128518,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163602.9379442334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183664.1682311893,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203725.6993353367,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223785.2672114968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243848.0090349913,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263907.978311181,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283966.544084251,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
