type,timestamp,positions
CONTROL,6.258953362703323,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20087.08892390132,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40144.89380642772,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60202.99019291997,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80261.91592216492,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100319.83209773898,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120379.31894883513,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140439.47821483016,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160497.90382385254,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180563.36091831326,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200628.446880728,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220685.49087271094,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240744.66805905104,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260800.96093937755,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280859.7278781235,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300916.681997478,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320981.68693482876,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341041.6259430349,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361100.5828715861,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381158.19822996855,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401226.27886012197,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421286.7678143084,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441352.16483846307,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461417.4012094736,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481479.5427955687,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501539.6010130644,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521598.59891980886,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541657.5958952308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561718.7959142029,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581787.0669998229,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601852.5040708482,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621916.6191294789,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641976.9981876016,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662036.6461575031,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682067.7821524441,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702127.2592246532,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722185.8962439001,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742245.564237237,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762305.4031282663,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782369.1167868674,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
