type,timestamp,positions,velocities,torques
STATE_MOTOR,5.607958883047104,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,20099.49996136129,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.524722, 0.0, 0.045628, 0.0]"
STATE_MOTOR,40160.09299084544,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.433466, 0.0, 0.045628, 0.0]"
STATE_MOTOR,60224.5619520545,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.547536, 0.0, 0.022814, 0.0]"
STATE_MOTOR,80286.60691343248,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,100343.9649939537,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.022814, 0.022814]"
STATE_MOTOR,120401.59292519093,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.433466, 0.0, 0.022814, 0.0]"
STATE_MOTOR,140460.27301810682,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.638792, 0.0, 0.022814, 0.0]"
STATE_MOTOR,160524.80193320662,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.593164, 0.0, 0.022814, 0.0]"
STATE_MOTOR,180590.49197472632,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.0]"
STATE_MOTOR,200651.89700108021,"[-0.011504855909142308, 0.007669903939428206, 0.5821457090026008, -0.0015339807878856412, -0.01380582709097077, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.0, 0.45628, 0.0, 0.022814, 0.022814]"
