type,timestamp,positions
CONTROL,4.867091774940491,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20091.06520563364,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40149.94204044342,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60209.08895879984,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80268.74717324972,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100326.48220658302,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120389.19515907764,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140450.04500076175,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160509.9542066455,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180569.11136955023,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200624.99307096004,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220683.45034494996,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240740.39421975613,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260802.12509259582,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280860.70204153657,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300921.9020605087,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320979.7479212284,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341043.14213618636,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361102.8799787164,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381160.94609722495,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401224.3701145053,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421287.4541990459,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441344.53823789954,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461402.90424227715,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481463.08306604624,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501526.6272239387,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521588.4791687131,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541683.9700192213,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
