type,timestamp,positions,velocities,torques
STATE_MOTOR,4.867091774940491,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 1, 0]"
STATE_MOTOR,20091.06520563364,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 0]"
STATE_MOTOR,40149.94204044342,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,60209.08895879984,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 0, 0]"
STATE_MOTOR,80268.74717324972,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 0]"
STATE_MOTOR,100326.48220658302,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 0]"
STATE_MOTOR,120389.19515907764,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 0]"
STATE_MOTOR,140450.04500076175,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 0, 17, 0, 0, 1]"
STATE_MOTOR,160509.9542066455,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,180569.11136955023,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 0, 1, 1]"
STATE_MOTOR,200624.99307096004,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 0, 1]"
STATE_MOTOR,220683.45034494996,"[0.011504855909142308, 0.006135923151542565, 0.5660389107298016, -0.0015339807878856412, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 18, 0, 0, 1]"
