type,timestamp,positions
CONTROL,5.889218300580978,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20082.528237253428,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40144.657250493765,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60203.41906696558,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80268.6819806695,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100326.98418945074,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120384.45519283414,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140449.286904186,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160508.33091139793,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180568.18516924977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200634.90001484752,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220700.27282461524,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240759.0658403933,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260816.85721874237,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280874.9391697347,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300933.1622160971,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320992.90611222386,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341054.1829653084,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361112.14524134994,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381172.5699342787,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401237.91294172406,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421306.27017468214,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441369.2499510944,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461428.40292304754,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481487.9479818046,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501546.008978039,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521607.3961928487,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541665.6588204205,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561729.2090319097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581788.1119437516,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601847.976911813,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621908.7429344654,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641964.7820293903,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662024.5361700654,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
