type,timestamp,positions,velocities,torques
STATE_MOTOR,5.1979441195726395,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.0, 0.0, 0.0]"
STATE_MOTOR,20088.32897990942,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.57035, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,40148.29499647021,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.615978, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,60208.94297398627,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.45628, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,80248.6389875412,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.524722, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,100305.87099026889,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.45628, 0.022814, 0.0, 0.0]"
STATE_MOTOR,120363.61393984407,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.433466, 0.022814, 0.022814, 0.0]"
STATE_MOTOR,140424.29090477526,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.479094, 0.022814, 0.022814, 0.022814]"
STATE_MOTOR,160481.4729653299,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.022814, 0.022814, 0.501908, 0.0, 0.022814, 0.0]"
STATE_MOTOR,180540.73897656053,"[0.013038836697027949, 0.01380582709097077, 0.5821457090026008, -0.006135923151542565, 0.010737865515199488, 0.49770190413657256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.045628, 0.022814, 0.45628, 0.0, 0.022814, 0.0]"
