type,timestamp,positions
CONTROL,4.937406629323959,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20099.882036447525,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40159.54537317157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60219.15841847658,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80285.16033664346,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100345.92542797327,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120404.89725768566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140465.2101919055,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160525.74524655938,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180581.37223124504,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200636.66813075542,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220697.27210327983,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240757.78713449836,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260816.85815006495,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280882.11035355926,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300941.30244106054,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320999.3620403111,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341058.224439621,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361123.8864250481,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381182.0871196687,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401242.26035550237,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421300.0200688839,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441358.95231738687,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461417.80400648713,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481474.0624278784,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501530.5201523006,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521602.1710075438,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541660.4410856962,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561719.5530794561,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581779.096275568,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601838.3880145848,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621896.0480764508,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641954.8601843417,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662013.5609991848,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682070.4201236367,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702129.2322315276,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722187.3421221972,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742245.7532957196,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762305.9470206499,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782363.8771660626,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802427.4562485516,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822492.3773668706,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842552.7103245258,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862608.1170514226,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882668.7410473824,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902729.0251106024,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922786.4951826632,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942843.5740992427,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962902.4462774396,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982961.76828444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003022.3121866584,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023108.8753789663,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043169.0593250096,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063234.6803322434,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083294.1732369363,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103352.1941863,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123411.3862738013,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143470.548093319,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163525.1641273499,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183584.3962617218,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203641.3154564798,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223705.1441334188,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243766.840081662,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263822.8880241513,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283882.2300545871,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303945.4580284655,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1324004.7614090145,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344063.0524419248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364124.5882026851,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384188.627358526,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404254.8802681267,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424312.680028379,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444374.5762109756,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464438.6661238968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484506.9013535976,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1504572.5931413472,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1524638.2751502097,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1544701.1231444776,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1564760.1950913668,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1584821.5203732252,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1604888.0741000175,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1624949.6000818908,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1645009.2224404216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1665067.6131248474,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1685126.3553835452,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1705184.2254586518,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1725242.3260360956,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1745303.601026535,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1765365.1372529566,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1785434.0332560241,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1805493.4963583946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1825554.0700629354,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1845613.4633161128,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1865676.4412298799,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1885737.516451627,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1905798.7914420664,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
