type,timestamp,positions
CONTROL,2.3529864847660065,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20080.60901425779,"[-0.013429, -0.012384, 0.497217, -0.011769, 0.012036, 0.486145]"
CONTROL,40138.74498195946,"[-0.026858, -0.024769, 0.494435, -0.023538, 0.024072, 0.472289]"
CONTROL,60198.54301121086,"[-0.040287, -0.037153, 0.491652, -0.035307, 0.036108, 0.458434]"
CONTROL,80262.78798934072,"[-0.053716, -0.049538, 0.488869, -0.047076, 0.048144, 0.444578]"
CONTROL,100324.66996926814,"[-0.067145, -0.061922, 0.486086, -0.058845, 0.06018, 0.430723]"
CONTROL,120383.59697908163,"[-0.080575, -0.074306, 0.483304, -0.070614, 0.072216, 0.416868]"
CONTROL,140448.96396808326,"[-0.094004, -0.086691, 0.480521, -0.082383, 0.084252, 0.403012]"
CONTROL,160505.14695234597,"[-0.107433, -0.099075, 0.477738, -0.094152, 0.096288, 0.389157]"
CONTROL,180560.33796165138,"[-0.120862, -0.11146, 0.474955, -0.105921, 0.108324, 0.375301]"
CONTROL,200617.10197478533,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,220676.50000099093,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,240737.51003015786,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,260805.55096268654,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,280867.4620464444,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,300928.58301941305,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,321001.10000465065,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,341061.4989697933,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,361119.69500780106,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,381179.4739449397,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,401237.6699829474,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,421296.25601228327,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,441352.44900826365,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,461408.0609753728,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,481462.812051177,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,501520.29702439904,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,521581.9280128926,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,541645.6030216068,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
CONTROL,561702.8770502657,"[-0.134291, -0.123844, 0.472173, -0.11769, 0.12036, 0.361446]"
