type,timestamp,positions,velocities,torques
STATE_MOTOR,6.3497573137283325,"[-0.011504855909142308, 0.006135923151542565, 0.5568350260024877, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 1, 1, 0]"
STATE_MOTOR,20099.38796982169,"[-0.011504855909142308, 0.006135923151542565, 0.5568350260024877, -0.0046019423636569235, 0.007669903939428206, 0.49667994687915007]","[0, 0, 0, 0, 0, 0]","[0, 2, 15, 1, 0, 2]"
STATE_MOTOR,40160.99963337183,"[-0.011504855909142308, 0.006135923151542565, 0.5568350260024877, -0.0046019423636569235, 0.009203884727313847, 0.4953519256308101]","[0, 0, 0, 0, 50, -100]","[3, 7, 16, 3, 2, 12]"
STATE_MOTOR,60222.300700843334,"[-0.013038836697027949, 0.006135923151542565, 0.5568350260024877, -0.0046019423636569235, 0.010737865515199488, 0.48804780876494025]","[0, 0, 0, 0, 50, -400]","[2, 13, 20, 6, 3, 9]"
STATE_MOTOR,80284.19269248843,"[-0.016106798272799233, 0.006135923151542565, 0.5568350260024877, -0.009203884727313847, 0.01687378866674205, 0.4814077025232404]","[-100, 0, 0, -100, 200, -550]","[5, 20, 18, 4, 1, 8]"
STATE_MOTOR,100344.053003937,"[-0.022242721424341798, 0.006135923151542565, 0.5553010452146021, -0.015339807878856412, 0.02454369260617026, 0.4707835325365206]","[-200, 0, -50, -200, 200, -700]","[6, 27, 16, 4, 3, 7]"
STATE_MOTOR,120400.75659751892,"[-0.03144660615165564, 0.0046019423636569235, 0.5537670644267164, -0.023009711818284616, 0.032213596545598466, 0.4601593625498008]","[-250, -50, -50, -250, 250, -800]","[5, 30, 14, 5, 3, 7]"
STATE_MOTOR,140462.5689610839,"[-0.04218447166685513, 0.0015339807878856412, 0.5506991028509451, -0.032213596545598466, 0.04141748127291231, 0.448207171314741]","[-350, -50, -50, -250, 300, -950]","[4, 28, 15, 5, 2, 7]"
STATE_MOTOR,160526.9550345838,"[-0.05445631796994026, -0.0046019423636569235, 0.5506991028509451, -0.03988350048502667, 0.052155346788111796, 0.43691899070385126]","[-400, -200, -100, -250, 350, -850]","[2, 29, 17, 4, 2, 10]"
STATE_MOTOR,180586.7338553071,"[-0.06672816427302539, -0.01380582709097077, 0.5491651220630596, -0.04908738521234052, 0.06135923151542565, 0.4256308100929615]","[-400, -300, -50, -300, 350, -850]","[3, 26, 20, 5, 3, 8]"
STATE_MOTOR,200643.41789111495,"[-0.08053399136399617, -0.02454369260617026, 0.5491651220630596, -0.059825250727540004, 0.07209709703062514, 0.4123505976095618]","[-450, -350, 0, -300, 300, -900]","[3, 20, 23, 5, 3, 8]"
STATE_MOTOR,220707.4840553105,"[-0.0928058376670813, -0.03681553890925539, 0.5476311412751739, -0.07056311624273949, 0.08283496254582462, 0.399734395750332]","[-400, -350, -50, -400, 350, -1000]","[2, 14, 19, 2, 0, 0]"
STATE_MOTOR,240773.66199344397,"[-0.10507768397016642, -0.04601942363656923, 0.5430291989115169, -0.07976700097005333, 0.09203884727313846, 0.38711819389110225]","[-400, -350, -150, -300, 300, -1000]","[0, 9, 13, 1, 0, 0]"
STATE_MOTOR,260837.1269889176,"[-0.1158155494853659, -0.05522330836388308, 0.5384272565478601, -0.0859029241215959, 0.09817477042468103, 0.38114209827357237]","[-350, -300, -150, -250, 200, -500]","[0, 8, 10, 2, 0, 0]"
STATE_MOTOR,280896.03362604976,"[-0.12195147263690848, -0.059825250727540004, 0.5338253141842031, -0.09050486648525283, 0.10124273200045232, 0.37715803452855245]","[-250, -200, -150, -100, 150, -300]","[0, 8, 8, 2, 1, 0]"
STATE_MOTOR,300952.869001776,"[-0.12501943421267975, -0.06596117387908257, 0.5292233718205462, -0.09357282806102411, 0.10431069357622359, 0.3745019920318725]","[-150, -150, -150, -150, 100, -250]","[0, 7, 9, 1, 1, 0]"
STATE_MOTOR,321009.71369072795,"[-0.12808739578845105, -0.07056311624273949, 0.5276893910326605, -0.09664078963679539, 0.10584467436410924, 0.37317397078353254]","[-100, -150, -50, -100, 50, -150]","[0, 6, 9, 1, 0, 1]"
STATE_MOTOR,341066.4377734065,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09817477042468103, 0.10891263593988051, 0.3705179282868526]","[-50, -100, -50, -50, 50, -150]","[0, 9, 9, 2, 0, 0]"
STATE_MOTOR,361126.767937094,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36852589641434264]","[0, 0, 0, -50, 100, -150]","[0, 9, 11, 1, 1, 0]"
STATE_MOTOR,381187.24804371595,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36719787516600266]","[0, 0, 0, -50, 0, -100]","[1, 10, 10, 2, 1, 0]"
STATE_MOTOR,401244.9639849365,"[-0.12808739578845105, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.3665338645418327]","[50, 0, 0, 0, 0, -100]","[1, 11, 10, 2, 0, 0]"
STATE_MOTOR,421305.66388368607,"[-0.12808739578845105, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.3652058432934927]","[0, 0, 0, 0, 0, -50]","[0, 8, 10, 2, 1, 0]"
STATE_MOTOR,441373.6746646464,"[-0.12808739578845105, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.3645418326693227]","[0, 0, 0, 0, 0, -50]","[1, 10, 11, 1, 1, 0]"
STATE_MOTOR,461439.44282084703,"[-0.12808739578845105, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, -100]","[1, 9, 12, 2, 1, 0]"
STATE_MOTOR,481498.9320002496,"[-0.12808739578845105, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[1, 9, 11, 1, 1, 0]"
STATE_MOTOR,501554.65491116047,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[-50, 0, 0, 0, 0, 0]","[1, 10, 10, 2, 0, 0]"
STATE_MOTOR,521596.3269583881,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[1, 9, 10, 2, 1, 0]"
STATE_MOTOR,541662.2548364103,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 9, 11, 2, 0, 0]"
STATE_MOTOR,561736.1846379936,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[1, 9, 10, 2, 1, 0]"
STATE_MOTOR,581793.4507504106,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[1, 9, 10, 2, 1, 1]"
STATE_MOTOR,601850.1347862184,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 9, 13, 2, 1, 0]"
STATE_MOTOR,621918.14603284,"[-0.12962137657633668, -0.07209709703062514, 0.5261554102447749, -0.09970875121256667, 0.11044661672776616, 0.36387782204515273]","[0, 0, 0, 0, 0, 0]","[0, 9, 14, 2, 1, 1]"
