type,timestamp,positions
CONTROL,6.0996972024440765,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20082.97201246023,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40144.80207115412,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60204.558074474335,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80262.76296004653,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100320.22604718804,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120379.20206785202,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140437.71708384156,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160497.3329231143,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180556.39881640673,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200613.89170587063,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220671.44606262445,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240732.78484866023,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260788.7159101665,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280845.507979393,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300899.98664334416,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320965.78273922205,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341027.84283459187,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361087.56996691227,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381146.7760242522,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401205.250993371,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421263.2649578154,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441323.6826658249,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461383.2999020815,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481440.33178687096,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501501.9318088889,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521563.6407956481,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541621.875949204,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561681.0717619956,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581737.4740727246,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601796.108763665,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621853.9429828525,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641913.1788425148,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,661980.62710464,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682036.607991904,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702095.4438485205,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722162.2709184885,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742218.9628705382,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762278.6299325526,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782337.7456516027,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802398.4730243683,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822459.9729292095,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842538.1067208946,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862598.3740203083,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882656.7786745727,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902713.8417586684,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922773.5088206828,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,942829.5199759305,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,962887.5837661326,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,982944.2757181823,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1003001.0687187314,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1023098.5009111464,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1043159.5398113132,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1063217.633869499,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1083278.1018689275,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1103338.1996676326,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1123400.1596458256,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1143458.4837406874,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1163519.4830596447,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1183577.2567428648,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1203635.300975293,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1223696.3799223304,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1243755.7657249272,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1263815.7629407942,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1283873.9268481731,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1303932.602982968,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1323997.9078061879,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1344057.294074446,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1364115.5189834535,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1384174.7650876641,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1404235.6726713479,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1424295.6200614572,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1444361.8566729128,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1464421.1530685425,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,1484478.5258173943,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
