type,timestamp,positions
CONTROL,5.82914799451828,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20085.563883185387,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40150.926914066076,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60210.51201969385,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80271.37815952301,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100328.32901924849,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120389.19515907764,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140447.2580179572,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160506.471991539,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180570.3230202198,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200631.07972964644,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220692.71700456738,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240752.8730109334,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260817.2749169171,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280874.5461516082,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300935.47189608216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320994.73709240556,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341053.4798167646,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361120.79583108425,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381180.39118126035,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401202.89102196693,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421263.646800071,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441323.1108337641,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461386.2209953368,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481445.73578611016,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501515.54588228464,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521574.8199261725,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541636.1470706761,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561701.0099813342,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581765.9017629921,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601825.2358771861,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621886.1630186439,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641946.8391686678,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662012.9439979792,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682072.3479613662,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702132.1528591216,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722191.7980350554,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742248.6781142652,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762309.8851181567,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,782371.7030696571,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,802430.1258847117,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,822489.7510372102,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,842553.8721494377,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,862612.0151020586,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,882672.1399091184,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,902731.8847365677,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,922793.9029224217,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
