type,timestamp,positions
CONTROL,5.749054253101349,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20077.432971447706,"[0.0004, -0.0004, 0.5004, -0.0004, 0.0004, 0.4996]"
CONTROL,40141.51729643345,"[0.0008, -0.0008, 0.5008, -0.0008, 0.0008, 0.4992]"
CONTROL,60200.63301548362,"[0.0012, -0.0012, 0.5012, -0.0012, 0.0012, 0.4988]"
CONTROL,80273.94022792578,"[0.0016, -0.0016, 0.5016, -0.0016, 0.0016, 0.4984]"
CONTROL,100336.8510864675,"[0.002, -0.002, 0.502, -0.002, 0.002, 0.498]"
CONTROL,120397.74004369974,"[0.0024, -0.0024, 0.5024, -0.0024, 0.0024, 0.4976]"
CONTROL,140462.7449810505,"[0.0028, -0.0028, 0.5028, -0.0028, 0.0028, 0.4972]"
CONTROL,160523.05232733488,"[0.0032, -0.0032, 0.5032, -0.0032, 0.0032, 0.4968]"
CONTROL,180582.31892064214,"[0.0036, -0.0036, 0.5036, -0.0036, 0.0036, 0.4964]"
CONTROL,200641.4639763534,"[0.004, -0.004, 0.504, -0.004, 0.004, 0.496]"
CONTROL,220718.21708232164,"[0.0044, -0.0044, 0.5044, -0.0044, 0.0044, 0.4956]"
CONTROL,240776.61195769906,"[0.0048, -0.0048, 0.5048, -0.0048, 0.0048, 0.4952]"
CONTROL,260836.79916337132,"[0.0052, -0.0052, 0.5052, -0.0052, 0.0052, 0.4948]"
CONTROL,280904.75825592875,"[0.0056, -0.0056, 0.5056, -0.0056, 0.0056, 0.4944]"
CONTROL,300965.45722335577,"[0.006, -0.006, 0.506, -0.006, 0.006, 0.494]"
CONTROL,321023.3310237527,"[0.0064, -0.0064, 0.5064, -0.0064, 0.0064, 0.4936]"
CONTROL,341090.4291085899,"[0.0068, -0.0068, 0.5068, -0.0068, 0.0068, 0.4932]"
CONTROL,361157.086212188,"[0.0072, -0.0072, 0.5072, -0.0072, 0.0072, 0.4928]"
CONTROL,381221.99987992644,"[0.0076, -0.0076, 0.5076, -0.0076, 0.0076, 0.4924]"
CONTROL,401285.1221486926,"[0.008, -0.008, 0.508, -0.008, 0.008, 0.492]"
CONTROL,421351.3392023742,"[0.0084, -0.0084, 0.5084, -0.0084, 0.0084, 0.4916]"
CONTROL,441417.024936527,"[0.0088, -0.0088, 0.5088, -0.0088, 0.0088, 0.4912]"
CONTROL,461502.47007608414,"[0.0092, -0.0092, 0.5092, -0.0092, 0.0092, 0.4908]"
CONTROL,481577.4392336607,"[0.0096, -0.0096, 0.5096, -0.0096, 0.0096, 0.4904]"
CONTROL,501638.88931274414,"[0.01, -0.01, 0.51, -0.01, 0.01, 0.49]"
CONTROL,521697.84530997276,"[0.0104, -0.0104, 0.5104, -0.0104, 0.0104, 0.4896]"
CONTROL,541757.1510188282,"[0.0108, -0.0108, 0.5108, -0.0108, 0.0108, 0.4892]"
CONTROL,561818.5698986053,"[0.0112, -0.0112, 0.5112, -0.0112, 0.0112, 0.4888]"
CONTROL,581880.9610791504,"[0.0116, -0.0116, 0.5116, -0.0116, 0.0116, 0.4884]"
CONTROL,601942.0800730586,"[0.012, -0.012, 0.512, -0.012, 0.012, 0.488]"
CONTROL,622001.7271116376,"[0.0124, -0.0124, 0.5124, -0.0124, 0.0124, 0.4876]"
CONTROL,642067.5832778215,"[0.0128, -0.0128, 0.5128, -0.0128, 0.0128, 0.4872]"
CONTROL,662141.5000408888,"[0.0132, -0.0132, 0.5132, -0.0132, 0.0132, 0.4868]"
CONTROL,682207.8470140696,"[0.0136, -0.0136, 0.5136, -0.0136, 0.0136, 0.4864]"
CONTROL,702269.9071094394,"[0.014, -0.014, 0.514, -0.014, 0.014, 0.486]"
CONTROL,722327.1210677922,"[0.0144, -0.0144, 0.5144, -0.0144, 0.0144, 0.4856]"
CONTROL,742387.3180523515,"[0.0148, -0.0148, 0.5148, -0.0148, 0.0148, 0.4852]"
CONTROL,762444.0812505782,"[0.0152, -0.0152, 0.5152, -0.0152, 0.0152, 0.4848]"
CONTROL,782502.125017345,"[0.0156, -0.0156, 0.5156, -0.0156, 0.0156, 0.4844]"
CONTROL,802563.3641518652,"[0.016, -0.016, 0.516, -0.016, 0.016, 0.484]"
CONTROL,822620.1771758497,"[0.0164, -0.0164, 0.5164, -0.0164, 0.0164, 0.4836]"
CONTROL,842677.7198910713,"[0.0168, -0.0168, 0.5168, -0.0168, 0.0168, 0.4832]"
CONTROL,862739.3902279437,"[0.0172, -0.0172, 0.5172, -0.0172, 0.0172, 0.4828]"
CONTROL,882798.5962852836,"[0.0176, -0.0176, 0.5176, -0.0176, 0.0176, 0.4824]"
CONTROL,902859.7450815141,"[0.018, -0.018, 0.518, -0.018, 0.018, 0.482]"
CONTROL,922917.7101515234,"[0.0184, -0.0184, 0.5184, -0.0184, 0.0184, 0.4816]"
CONTROL,942976.8649861217,"[0.0188, -0.0188, 0.5188, -0.0188, 0.0188, 0.4812]"
CONTROL,963035.4912951589,"[0.0192, -0.0192, 0.5192, -0.0192, 0.0192, 0.4808]"
CONTROL,983100.0552512705,"[0.0196, -0.0196, 0.5196, -0.0196, 0.0196, 0.4804]"
CONTROL,1003160.9330326319,"[0.02, -0.02, 0.52, -0.02, 0.02, 0.48]"
CONTROL,1023244.4261200726,"[0.0204, -0.0204, 0.5204, -0.0204, 0.0204, 0.4796]"
CONTROL,1043303.8920164108,"[0.0208, -0.0208, 0.5208, -0.0208, 0.0208, 0.4792]"
CONTROL,1063368.9970709383,"[0.0212, -0.0212, 0.5212, -0.0212, 0.0212, 0.4788]"
CONTROL,1083432.5603209436,"[0.0216, -0.0216, 0.5216, -0.0216, 0.0216, 0.4784]"
CONTROL,1103488.621301949,"[0.022, -0.022, 0.522, -0.022, 0.022, 0.478]"
CONTROL,1123546.9160601497,"[0.0224, -0.0224, 0.5224, -0.0224, 0.0224, 0.4776]"
CONTROL,1143599.171191454,"[0.0228, -0.0228, 0.5228, -0.0228, 0.0228, 0.4772]"
CONTROL,1163666.3689278066,"[0.0232, -0.0232, 0.5232, -0.0232, 0.0232, 0.4768]"
CONTROL,1183733.8078767061,"[0.0236, -0.0236, 0.5236, -0.0236, 0.0236, 0.4764]"
CONTROL,1203794.116154313,"[0.024, -0.024, 0.524, -0.024, 0.024, 0.476]"
CONTROL,1223854.1431725025,"[0.0244, -0.0244, 0.5244, -0.0244, 0.0244, 0.4756]"
CONTROL,1243913.039099425,"[0.0248, -0.0248, 0.5248, -0.0248, 0.0248, 0.4752]"
CONTROL,1263978.895265609,"[0.0252, -0.0252, 0.5252, -0.0252, 0.0252, 0.4748]"
CONTROL,1284043.3078818023,"[0.0256, -0.0256, 0.5256, -0.0256, 0.0256, 0.4744]"
CONTROL,1304103.1351312995,"[0.026, -0.026, 0.526, -0.026, 0.026, 0.474]"
CONTROL,1324161.2701676786,"[0.0264, -0.0264, 0.5264, -0.0264, 0.0264, 0.4736]"
CONTROL,1344223.6511036754,"[0.0268, -0.0268, 0.5268, -0.0268, 0.0268, 0.4732]"
CONTROL,1364285.4909412563,"[0.0272, -0.0272, 0.5272, -0.0272, 0.0272, 0.4728]"
CONTROL,1384349.5938926935,"[0.0276, -0.0276, 0.5276, -0.0276, 0.0276, 0.4724]"
CONTROL,1404408.5498899221,"[0.028, -0.028, 0.528, -0.028, 0.028, 0.472]"
CONTROL,1424468.9182378352,"[0.0284, -0.0284, 0.5284, -0.0284, 0.0284, 0.4716]"
CONTROL,1444527.4830795825,"[0.0288, -0.0288, 0.5288, -0.0288, 0.0288, 0.4712]"
CONTROL,1464585.8779549599,"[0.0292, -0.0292, 0.5292, -0.0292, 0.0292, 0.4708]"
CONTROL,1484649.3299119174,"[0.0296, -0.0296, 0.5296, -0.0296, 0.0296, 0.4704]"
CONTROL,1504705.5622562766,"[0.03, -0.03, 0.53, -0.03, 0.03, 0.47]"
CONTROL,1524762.3352333903,"[0.0304, -0.0304, 0.5304, -0.0304, 0.0304, 0.4696]"
CONTROL,1544822.0819234848,"[0.0308, -0.0308, 0.5308, -0.0308, 0.0308, 0.4692]"
CONTROL,1564887.136220932,"[0.0312, -0.0312, 0.5312, -0.0312, 0.0312, 0.4688]"
CONTROL,1584947.4342539907,"[0.0316, -0.0316, 0.5316, -0.0316, 0.0316, 0.4684]"
CONTROL,1605003.6163069308,"[0.032, -0.032, 0.532, -0.032, 0.032, 0.468]"
CONTROL,1625061.5501776338,"[0.0324, -0.0324, 0.5324, -0.0324, 0.0324, 0.4676]"
CONTROL,1645121.4272528887,"[0.0328, -0.0328, 0.5328, -0.0328, 0.0328, 0.4672]"
CONTROL,1665180.7031594217,"[0.0332, -0.0332, 0.5332, -0.0332, 0.0332, 0.4668]"
CONTROL,1685244.285967201,"[0.0336, -0.0336, 0.5336, -0.0336, 0.0336, 0.4664]"
CONTROL,1705301.2889809906,"[0.034, -0.034, 0.534, -0.034, 0.034, 0.466]"
CONTROL,1725357.951130718,"[0.0344, -0.0344, 0.5344, -0.0344, 0.0344, 0.4656]"
CONTROL,1745425.9102232754,"[0.0348, -0.0348, 0.5348, -0.0348, 0.0348, 0.4652]"
CONTROL,1765484.1551557183,"[0.0352, -0.0352, 0.5352, -0.0352, 0.0352, 0.4648]"
CONTROL,1785538.9239266515,"[0.0356, -0.0356, 0.5356, -0.0356, 0.0356, 0.4644]"
CONTROL,1805594.9760600924,"[0.036, -0.036, 0.536, -0.036, 0.036, 0.464]"
CONTROL,1825661.4729762077,"[0.0364, -0.0364, 0.5364, -0.0364, 0.0364, 0.4636]"
CONTROL,1845729.8818975687,"[0.0368, -0.0368, 0.5368, -0.0368, 0.0368, 0.4632]"
CONTROL,1865787.9969105124,"[0.0372, -0.0372, 0.5372, -0.0372, 0.0372, 0.4628]"
