type,timestamp,positions,velocities,torques
STATE_MOTOR,5.749054253101349,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,20077.432971447706,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,40141.51729643345,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 1]"
STATE_MOTOR,60200.63301548362,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,80273.94022792578,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 1, 1]"
STATE_MOTOR,100336.8510864675,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 1]"
STATE_MOTOR,120397.74004369974,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 1]"
STATE_MOTOR,140462.7449810505,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 2]"
STATE_MOTOR,160523.05232733488,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50199203187251]","[0, 0, 0, 0, 0, -50]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,180582.31892064214,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.50066401062417]","[0, 0, 0, 0, 0, -100]","[1, 1, 9, 0, 1, 0]"
STATE_MOTOR,200641.4639763534,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.5]","[0, 0, 0, 0, 0, -50]","[2, 1, 10, 0, 1, 1]"
STATE_MOTOR,220718.21708232164,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.49933598937583]","[0, 0, 0, 0, 0, -50]","[2, 1, 10, 0, 0, 0]"
STATE_MOTOR,240776.61195769906,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.49867197875166]","[0, 0, 0, 0, 0, -50]","[1, 1, 10, 0, 1, 1]"
STATE_MOTOR,260836.79916337132,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.007669903939428206, 0.49867197875166]","[0, 0, 0, 0, 0, 0]","[1, 1, 9, 0, 2, 0]"
STATE_MOTOR,280904.75825592875,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.49867197875166]","[0, 0, 0, 0, 0, 0]","[1, 1, 10, 0, 1, 1]"
STATE_MOTOR,300965.45722335577,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.49734395750332006]","[0, 0, 0, 0, 50, -100]","[2, 1, 9, 0, 1, 1]"
STATE_MOTOR,321023.3310237527,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.49667994687915007]","[0, 0, 0, 0, 0, -50]","[1, 2, 10, 0, 1, 0]"
STATE_MOTOR,341090.4291085899,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4960159362549801]","[0, 0, 0, 0, 0, -50]","[1, 2, 9, 0, 1, 0]"
STATE_MOTOR,361157.086212188,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4953519256308101]","[0, 0, 0, 0, 0, -50]","[2, 1, 9, 0, 1, 0]"
STATE_MOTOR,381221.99987992644,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4953519256308101]","[0, 0, 0, 0, 0, 0]","[1, 2, 11, 1, 1, 0]"
STATE_MOTOR,401285.1221486926,"[-0.009970875121256667, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4953519256308101]","[0, 0, 0, 0, 0, 0]","[1, 2, 12, 0, 1, 1]"
STATE_MOTOR,421351.3392023742,"[-0.008436894333371026, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4953519256308101]","[0, 0, 0, 0, 0, 0]","[1, 2, 8, 0, 2, 0]"
STATE_MOTOR,441417.024936527,"[-0.005368932757599744, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4953519256308101]","[100, 0, 0, 0, 0, 0]","[1, 1, 8, 0, 2, 1]"
STATE_MOTOR,461502.47007608414,"[-0.0023009711818284618, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4953519256308101]","[50, 0, 0, 0, 0, 0]","[1, 2, 9, 0, 1, 1]"
STATE_MOTOR,481577.4392336607,"[-0.0007669903939428206, 0.007669903939428206, 0.5583690067903734, -0.0046019423636569235, -0.006135923151542565, 0.4953519256308101]","[100, 0, 0, 0, 0, 0]","[0, 2, 8, 1, 1, 1]"
