type,timestamp,positions
CONTROL,5.958951078355312,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20099.136978387833,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40165.002923458815,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60226.21295414865,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80284.33797881007,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100347.38993272185,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120366.63794424385,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140421.58797383308,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160479.6729516238,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180538.05793169886,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200597.19495475292,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220659.37600564212,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240718.16192008555,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260778.47101259977,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280836.1549396068,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300895.432010293,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320953.85692082345,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341012.2930072248,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361074.35391750187,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381135.8939856291,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401193.6279712245,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
