type,timestamp,positions,velocities,torques
STATE_MOTOR,6.109010428190231,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 0]"
STATE_MOTOR,20086.462143808603,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,40148.0570435524,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,60206.938069313765,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 1, 1]"
STATE_MOTOR,80274.90321546793,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 0, 1]"
STATE_MOTOR,100335.79636365175,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,120397.191029042,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,140458.27509835362,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 0, 0]"
STATE_MOTOR,160517.22643896937,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,180582.2472088039,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 0, 0]"
STATE_MOTOR,200647.9282863438,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 1]"
STATE_MOTOR,220707.219094038,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,240765.79045504332,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,260798.46126958728,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,280857.9131960869,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,300918.3662943542,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 1]"
STATE_MOTOR,320978.01845520735,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,341037.1202044189,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 0, 0]"
STATE_MOTOR,361098.69508072734,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 1, 1]"
STATE_MOTOR,381167.6003970206,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 0, 1]"
STATE_MOTOR,401229.81602326035,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,421289.8691184819,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 0, 1]"
STATE_MOTOR,441346.52707725763,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 1]"
STATE_MOTOR,461409.2130213976,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 1, 0]"
STATE_MOTOR,481468.1843854487,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,501528.96810323,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,521589.6121226251,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,541657.2764515877,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 0]"
STATE_MOTOR,561717.7290841937,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,581774.9272100627,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 0, 0]"
STATE_MOTOR,601834.790315479,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 12, 0, 1, 0]"
STATE_MOTOR,621892.4392014742,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 0, 0]"
STATE_MOTOR,641953.3030129969,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,662016.0490274429,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 1, 0]"
STATE_MOTOR,682077.354285866,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 0, 0]"
STATE_MOTOR,702140.6320855021,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 1]"
STATE_MOTOR,722198.7810917199,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 1]"
STATE_MOTOR,742271.7232257128,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 1, 1]"
STATE_MOTOR,762337.5044204295,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 0]"
STATE_MOTOR,782402.204349637,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,802467.6153436303,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 0, 0]"
STATE_MOTOR,822534.7781553864,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,842595.4021513462,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 1, 0]"
STATE_MOTOR,862664.1472801566,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,882726.5333384275,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 1]"
STATE_MOTOR,902792.8654104471,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,922856.9343686104,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 1]"
STATE_MOTOR,942918.3090105653,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,962979.7241650522,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 17, 0, 1, 0]"
STATE_MOTOR,983038.1441861391,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,1003095.9532596171,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 0]"
STATE_MOTOR,1023183.2163408399,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,1043242.7683845162,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 0, 0]"
STATE_MOTOR,1063308.8792674243,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 1, 0]"
STATE_MOTOR,1083373.3682520688,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 0, 0]"
STATE_MOTOR,1103435.474447906,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 16, 0, 0, 1]"
STATE_MOTOR,1123495.9373250604,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 1]"
STATE_MOTOR,1143554.4970445335,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 13, 0, 1, 0]"
STATE_MOTOR,1163622.5720867515,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
STATE_MOTOR,1183685.7092566788,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 1, 0]"
STATE_MOTOR,1203746.5223111212,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 16, 0, 0, 0]"
STATE_MOTOR,1223806.7854195833,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 14, 0, 0, 1]"
STATE_MOTOR,1243867.328390479,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 1]"
STATE_MOTOR,1263931.557070464,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 1, 0]"
STATE_MOTOR,1283989.0364557505,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 1, 1]"
STATE_MOTOR,1304045.984055847,"[-0.011504855909142308, 0.007669903939428206, 0.5583690067903734, -0.0015339807878856412, -0.009203884727313847, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 1, 0]"
