type,timestamp,positions
CONTROL,4.867091774940491,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,20099.604967981577,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,40164.06601294875,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,60228.55779156089,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,80253.08977812529,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,100315.19876793027,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,120377.58808583021,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,140435.39995327592,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,160505.0889775157,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,180565.06384164095,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,200625.5597807467,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,220689.10067901015,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,240749.60686266422,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,260814.42879512906,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,280880.8237314224,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,300941.64004549384,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,320999.3620403111,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,341056.0917109251,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,361114.8661002517,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,381173.8998629153,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,401234.0949848294,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,421298.5369376838,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,441358.5518486798,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,461418.1867800653,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,481479.6238206327,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,501539.7588722408,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,521600.7558628917,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,541668.1016795337,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,561725.9740829468,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,581797.1960641444,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,601856.2600947917,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,621924.2569059134,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,641983.4806583822,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,662045.428995043,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,682103.9319038391,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,702164.6788343787,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,722231.5636463463,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,742291.3289628923,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
CONTROL,762357.2526499629,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]"
