type,timestamp,positions,velocities,torques
STATE_MOTOR,4.867091774940491,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 0, 0]"
STATE_MOTOR,20099.604967981577,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 0, 0]"
STATE_MOTOR,40164.06601294875,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 1]"
STATE_MOTOR,60228.55779156089,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 0, 1]"
STATE_MOTOR,80253.08977812529,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 0, 0]"
STATE_MOTOR,100315.19876793027,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 0]"
STATE_MOTOR,120377.58808583021,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 0, 1]"
STATE_MOTOR,140435.39995327592,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 1]"
STATE_MOTOR,160505.0889775157,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 0, 0]"
STATE_MOTOR,180565.06384164095,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 0]"
STATE_MOTOR,200625.5597807467,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 0, 0]"
STATE_MOTOR,220689.10067901015,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 16, 0, 0, 0]"
STATE_MOTOR,240749.60686266422,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 0]"
STATE_MOTOR,260814.42879512906,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 13, 0, 0, 0]"
STATE_MOTOR,280880.8237314224,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 0, 0]"
STATE_MOTOR,300941.64004549384,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 0, 0]"
STATE_MOTOR,320999.3620403111,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 14, 0, 0, 0]"
STATE_MOTOR,341056.0917109251,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 0, 0]"
STATE_MOTOR,361114.8661002517,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 14, 0, 0, 0]"
STATE_MOTOR,381173.8998629153,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 11, 0, 0, 1]"
STATE_MOTOR,401234.0949848294,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 0]"
STATE_MOTOR,421298.5369376838,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 0]"
STATE_MOTOR,441358.5518486798,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 16, 0, 0, 0]"
STATE_MOTOR,461418.1867800653,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 1]"
STATE_MOTOR,481479.6238206327,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 12, 0, 0, 1]"
STATE_MOTOR,501539.7588722408,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 12, 0, 0, 1]"
STATE_MOTOR,521600.7558628917,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 1, 11, 0, 0, 1]"
STATE_MOTOR,541668.1016795337,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 11, 0, 0, 0]"
STATE_MOTOR,561725.9740829468,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 0]"
STATE_MOTOR,581797.1960641444,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 0]"
STATE_MOTOR,601856.2600947917,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 0, 0, 1]"
STATE_MOTOR,621924.2569059134,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[1, 0, 15, 0, 0, 0]"
STATE_MOTOR,641983.4806583822,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 0]"
STATE_MOTOR,662045.428995043,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 1]"
STATE_MOTOR,682103.9319038391,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 1]"
STATE_MOTOR,702164.6788343787,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 13, 0, 0, 1]"
STATE_MOTOR,722231.5636463463,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 14, 0, 0, 1]"
STATE_MOTOR,742291.3289628923,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 1, 11, 0, 0, 0]"
STATE_MOTOR,762357.2526499629,"[0.003834951969714103, 0.006135923151542565, 0.5568350260024877, -0.0015339807878856412, -0.0015339807878856412, 0.50265604249668]","[0, 0, 0, 0, 0, 0]","[0, 0, 12, 0, 0, 1]"
