type,timestamp,positions,velocities,torques
STATE_MOTOR,0.0,"[-2.001818302233005e-06, 0.0068931421265006065, 0.5049896240234375, 0.0017044201958924532, -1.4958665815356653e-05, 0.4967429041862488]","[-0.00011331755376886576, -0.04624238610267639, 0.04692041501402855, 0.008930224925279617, -0.00016197602963075042, 0.06069032475352287]","[0.0001469892158638686, -0.5032024383544922, -0.4202289581298828, -0.10896560549736023, -0.00014029990416020155, 0.003651695791631937]"
STATE_MOTOR,0.004999999888241291,"[-1.507406864220684e-06, 0.006843007169663906, 0.5055373311042786, 0.0016848688246682286, -1.4950750482967123e-05, 0.4974365532398224]","[6.992762791924179e-05, -0.06709624826908112, 0.08380206674337387, 0.0011225095950067043, -7.36842121114023e-05, 0.1262173056602478]","[-7.415361324092373e-05, -0.4871053099632263, -0.37499672174453735, -0.0962032601237297, -0.00012599403271451592, 0.0035533453337848186]"
STATE_MOTOR,0.009999999776482582,"[-1.3560415936808567e-06, 0.006818604189902544, 0.5060815215110779, 0.0016782248858362436, -1.4792293768550735e-05, 0.49798113107681274]","[-3.557464879122563e-05, -0.057196542620658875, 0.0742650255560875, 0.005541704129427671, -0.00011903177801286802, 0.09889690577983856]","[-0.00011563790758373216, -0.4807215929031372, -0.40112024545669556, -0.10294239223003387, -0.00013082947407383472, 0.0033796378411352634]"
STATE_MOTOR,0.014999999664723873,"[-1.6031308405217715e-06, 0.006837930530309677, 0.506563127040863, 0.001686824019998312, -1.4807815205131192e-05, 0.49840810894966125]","[-9.618839249014854e-05, -0.04982919245958328, 0.06088509410619736, 0.007896499708294868, -0.00014712971460539848, 0.07747793197631836]","[4.518740752246231e-05, -0.4929454028606415, -0.41257166862487793, -0.10654855519533157, -0.00013633069465868175, 0.0035385875962674618]"
STATE_MOTOR,0.019999999552965164,"[-2.012506001847214e-06, 0.006881821434944868, 0.5069756507873535, 0.0017028491711243987, -1.4919191016815603e-05, 0.4987429082393646]","[-0.00011456375068519264, -0.04632849991321564, 0.04701048880815506, 0.008919576182961464, -0.00016120685904752463, 0.06069033220410347]","[0.000147214625030756, -0.5027818083763123, -0.41983261704444885, -0.10886344313621521, -0.00014015176566317677, 0.0036516650579869747]"
STATE_MOTOR,0.024999999441206455,"[0.000824584043584764, 0.006931095849722624, 0.5073249936103821, 0.0017225154442712665, -1.252779838978313e-06, 0.4990054666996002]","[0.23945337533950806, -0.046109333634376526, 0.03463974595069885, 0.009314563125371933, 0.0014431411400437355, 0.047536950558423996]","[0.6223089694976807, -0.5068169832229614, -0.4256935119628906, -0.1105632334947586, -0.0066563705913722515, 0.0037066503427922726]"
STATE_MOTOR,0.029999999329447746,"[0.0023325763177126646, 0.006980945821851492, 0.5076063871383667, 0.001740223029628396, 5.281940502754878e-07, 0.4992113709449768]","[0.32464590668678284, -0.046632006764411926, 0.021117733791470528, 0.008693419396877289, -0.0003350762417539954, 0.03722292557358742]","[0.22129784524440765, -0.5114780068397522, -0.4269372522830963, -0.11111992597579956, -0.002488093450665474, 0.003760705469176173]"
STATE_MOTOR,0.03499999921768904,"[0.00398249551653862, 0.007023527752608061, 0.50782310962677, 0.0017538092797622085, -2.9794341571687255e-06, 0.4993728995323181]","[0.3258556127548218, -0.04867694526910782, 0.008782880380749702, 0.007782850414514542, -0.0010379957966506481, 0.02914334461092949]","[0.0031800083816051483, -0.5137321352958679, -0.4258382022380829, -0.11088867485523224, -0.00018907466437667608, 0.003778602695092559]"
STATE_MOTOR,0.03999999910593033,"[0.005499718245118856, 0.007053319364786148, 0.5079830288887024, 0.001762543572112918, -8.059073479671497e-06, 0.49949967861175537]","[0.28685227036476135, -0.05146761238574982, -0.0019403770565986633, 0.00679420493543148, -0.0011674051638692617, 0.022813327610492706]","[-0.10120251774787903, -0.5132286548614502, -0.4236101508140564, -0.11025933921337128, 0.0009140002075582743, 0.0037702033296227455]"
STATE_MOTOR,0.04499999899417162,"[0.007596772164106369, 0.007065661251544952, 0.5081005096435547, 0.001767947687767446, 9.760187822394073e-07, 0.49959924817085266]","[0.47306638956069946, -0.054790619760751724, -0.009733304381370544, 0.006130751688033342, 0.0005823145620524883, 0.01785413920879364]","[0.48327234387397766, -0.5086060166358948, -0.4226346015930176, -0.10981082171201706, -0.00520670972764492, 0.003729035146534443]"
STATE_MOTOR,0.04999999888241291,"[0.010102781467139721, 0.007068173494189978, 0.5081748962402344, 0.0017682717880234122, -8.438909162578057e-07, 0.4996773898601532]","[0.5043544173240662, -0.0567522831261158, -0.01785392127931118, 0.005128528922796249, -0.0009636846370995045, 0.013957822695374489]","[0.08126985281705856, -0.5074192881584167, -0.41838133335113525, -0.10865170508623123, -0.001017439179122448, 0.003713323501870036]"
STATE_MOTOR,0.0549999987706542,"[0.012499363161623478, 0.007060879375785589, 0.5082137584686279, 0.0017642132006585598, -6.758845756849041e-06, 0.49973875284194946]","[0.4580051898956299, -0.0587470568716526, -0.024234015494585037, 0.004335868638008833, -0.001431998796761036, 0.010906167328357697]","[-0.12022347748279572, -0.5053357481956482, -0.41399797797203064, -0.10737522691488266, 0.0011116602690890431, 0.0036825276911258698]"
STATE_MOTOR,0.05999999865889549,"[0.014552665874361992, 0.00704411743208766, 0.5082266330718994, 0.0017569735646247864, -1.318166596320225e-05, 0.49978703260421753]","[0.3802723288536072, -0.060454804450273514, -0.028873957693576813, 0.0037871627137064934, -0.0013652174966409802, 0.008513026870787144]","[-0.20166650414466858, -0.5021033883094788, -0.4102213978767395, -0.10623526573181152, 0.0019753254018723965, 0.0036451956257224083]"
STATE_MOTOR,0.06499999854713678,"[0.01702040433883667, 0.007017106283456087, 0.5082272887229919, 0.001749213202856481, -4.6611312427558005e-06, 0.49982500076293945]","[0.5367045998573303, -0.062078557908535004, -0.03080606274306774, 0.0037394496612250805, 0.0005300614866428077, 0.006635315250605345]","[0.40589800477027893, -0.49622243642807007, -0.4090522229671478, -0.10569703578948975, -0.004389324225485325, 0.003592007327824831]"
STATE_MOTOR,0.06999999843537807,"[0.01977315917611122, 0.006989676039665937, 0.508212685585022, 0.0017396684270352125, -6.428409506042954e-06, 0.49985483288764954]","[0.5460432171821594, -0.06208121031522751, -0.03356916457414627, 0.0034121423959732056, -0.0009197363397106528, 0.005153459031134844]","[0.024326052516698837, -0.49517855048179626, -0.4053151607513428, -0.10467975586652756, -0.0004134250630158931, 0.0035775555297732353]"
STATE_MOTOR,0.07499999832361937,"[0.022327402606606483, 0.00696213636547327, 0.5081877112388611, 0.0017291090916842222, -1.193523348774761e-05, 0.49987828731536865]","[0.4841653108596802, -0.06212054193019867, -0.03520625829696655, 0.0032825362868607044, -0.0013311996590346098, 0.003991480451077223]","[-0.16050022840499878, -0.49394553899765015, -0.4021996855735779, -0.10377815365791321, 0.0015400976408272982, 0.003556647337973118]"
STATE_MOTOR,0.07999999821186066,"[0.02447676472365856, 0.006934308912605047, 0.5081584453582764, 0.0017185063334181905, -1.776247881934978e-05, 0.499896764755249]","[0.3958556354045868, -0.06203563138842583, -0.03582196682691574, 0.003333072178065777, -0.0012376692611724138, 0.0030785680282860994]","[-0.22911320626735687, -0.4920925498008728, -0.4001128077507019, -0.10314653813838959, 0.0022679183166474104, 0.0035351235419511795]"
STATE_MOTOR,0.08499999810010195,"[0.02699953503906727, 0.006904297973960638, 0.5081348419189453, 0.0017100879922509193, -8.578085726185236e-06, 0.4999113082885742]","[0.5453528165817261, -0.062134891748428345, -0.03448513150215149, 0.0037877531722187996, 0.0006641026120632887, 0.002362101571634412]","[0.387897789478302, -0.4879053235054016, -0.4008190929889679, -0.1031772643327713, -0.004196918569505215, 0.0035010753199458122]"
STATE_MOTOR,0.08999999798834324,"[0.029781077057123184, 0.006880464963614941, 0.508109986782074, 0.0017020442755892873, -9.692264029581565e-06, 0.4999226927757263]","[0.550335705280304, -0.06093686819076538, -0.034718383103609085, 0.0038495399057865143, -0.000792141305282712, 0.001791645074263215]","[0.01301493402570486, -0.4886980354785919, -0.3989357054233551, -0.1027260571718216, -0.00029210071079432964, 0.003506801091134548]"
STATE_MOTOR,0.09499999787658453,"[0.032348111271858215, 0.006861436180770397, 0.508085310459137, 0.0016945833340287209, -1.4601047951146029e-05, 0.4999316334724426]","[0.48586171865463257, -0.06011229008436203, -0.03450014814734459, 0.003997599706053734, -0.0012170380214229226, 0.001346019096672535]","[-0.16725653409957886, -0.4892292618751526, -0.3975828289985657, -0.10236375033855438, 0.001612669788300991, 0.0035053379833698273]"
STATE_MOTOR,0.09999999776482582,"[0.0345010906457901, 0.0068454258143901825, 0.508063793182373, 0.0016881354385986924, -1.990754753933288e-05, 0.4999386668205261]","[0.3961089551448822, -0.059478260576725006, -0.03385799378156662, 0.004220813047140837, -0.0011398232309147716, 0.0009957643924281001]","[-0.23288306593894958, -0.48898059129714966, -0.39707130193710327, -0.10221514105796814, 0.002308382885530591, 0.0035014720633625984]"
STATE_MOTOR,0.10499999765306711,"[0.03702263906598091, 0.006829092279076576, 0.5080526471138, 0.0016844490310177207, -1.0286486940458417e-05, 0.49994421005249023]","[0.5448799133300781, -0.05930478498339653, -0.03177032247185707, 0.004757688380777836, 0.0007452012505382299, 0.0007225880981422961]","[0.38601893186569214, -0.48617833852767944, -0.3991147577762604, -0.10265642404556274, -0.004176696762442589, 0.003482639091089368]"
STATE_MOTOR,0.1099999975413084,"[0.03980080410838127, 0.006819572765380144, 0.5080426335334778, 0.0016813087277114391, -1.104331840906525e-05, 0.49994856119155884]","[0.549577534198761, -0.05806197226047516, -0.03166070580482483, 0.00482738995924592, -0.0007264373125508428, 0.0005011369357816875]","[0.012262665666639805, -0.48810213804244995, -0.39831236004829407, -0.1025373712182045, -0.00028427550569176674, 0.003500725608319044]"
STATE_MOTOR,0.1149999974295497,"[0.04236385226249695, 0.0068145133554935455, 0.5080335140228271, 0.001678601955063641, -1.5666417311877012e-05, 0.49995195865631104]","[0.4850602447986603, -0.057369451969861984, -0.031410083174705505, 0.004925606772303581, -0.0011648950167000294, 0.0003281485987827182]","[-0.16738565266132355, -0.4895016849040985, -0.3977830708026886, -0.10242832452058792, 0.0016136118210852146, 0.0035087307915091515]"
STATE_MOTOR,0.11999999731779099,"[0.0445130430161953, 0.006811413913965225, 0.5080270171165466, 0.0016765299951657653, -2.0747955204569735e-05, 0.49995458126068115]","[0.39538314938545227, -0.05699217692017555, -0.030960073694586754, 0.005059561692178249, -0.0010989533038809896, 0.00019362421880941838]","[-0.23270036280155182, -0.48987358808517456, -0.39785706996917725, -0.10245976597070694, 0.0023058841470628977, 0.0035116206854581833]"
STATE_MOTOR,0.12499999720603228,"[0.047031331807374954, 0.006806458346545696, 0.5080292820930481, 0.0016766871558502316, -1.0951471267617308e-05, 0.4999566972255707]","[0.5442743301391602, -0.057153042405843735, -0.029212739318609238, 0.005481752101331949, 0.0007770085358060896, 9.188043622998521e-05]","[0.3863336741924286, -0.487469881772995, -0.4002752900123596, -0.10301639139652252, -0.004180698189884424, 0.0034971239510923624]"
STATE_MOTOR,0.12999999709427357,"[0.04980688914656639, 0.006806510500609875, 0.5080307722091675, 0.0016767734196037054, -1.1572540643101092e-05, 0.4999583065509796]","[0.5491042137145996, -0.05628450587391853, -0.029521869495511055, 0.005424755625426769, -0.000701889512129128, 4.341898602433503e-06]","[0.012600982561707497, -0.4896010160446167, -0.39966851472854614, -0.10295739769935608, -0.00028859905432909727, 0.0035174223594367504]"
STATE_MOTOR,0.13499999698251486,"[0.052367959171533585, 0.006809135898947716, 0.5080309510231018, 0.0016766551416367292, -1.6089932614704594e-05, 0.4999595284461975]","[0.48470720648765564, -0.05597088485956192, -0.029722031205892563, 0.005395936314016581, -0.0011457388754934072, -6.0938866226933897e-05]","[-0.16707757115364075, -0.4910571873188019, -0.3991958498954773, -0.10286562144756317, 0.001609658356755972, 0.0035260203294456005]"
STATE_MOTOR,0.13999999687075615,"[0.05451570451259613, 0.006811884697526693, 0.50803142786026, 0.0016765525797381997, -2.1089186702738516e-05, 0.4999605119228363]","[0.3951296806335449, -0.05595363676548004, -0.02971489168703556, 0.0054088192991912365, -0.0010839964961633086, -0.00011010402522515506]","[-0.2324429750442505, -0.4913727343082428, -0.39922016859054565, -0.10288156569004059, 0.0023025546688586473, 0.0035282582975924015]"
STATE_MOTOR,0.14499999675899744,"[0.05703297629952431, 0.006811082828789949, 0.5080386996269226, 0.0016781106824055314, -1.1228089533688035e-05, 0.4999612867832184]","[0.5440990924835205, -0.05644044280052185, -0.02837260067462921, 0.0057224310003221035, 0.0007888411055319011, -0.0001462381042074412]","[0.38653668761253357, -0.48883235454559326, -0.40151235461235046, -0.1033991277217865, -0.004183481447398663, 0.0035122125409543514]"
STATE_MOTOR,0.14999999664723873,"[0.059807851910591125, 0.006813811603933573, 0.5080432891845703, 0.001679103821516037, -1.1797535080404487e-05, 0.49996185302734375]","[0.5489875078201294, -0.05585017800331116, -0.0290366280823946, 0.005572234746068716, -0.0006924004410393536, -0.0001805462088668719]","[0.012753542512655258, -0.49077728390693665, -0.4007384479045868, -0.10328847169876099, -0.0002907074522227049, 0.0035304659977555275]"
