left_shoulder_pitch_joint,left_elbow_joint
-68.755,-22.918
-65.890,-22.918
-63.025,-22.918
-60.161,-22.918
-57.296,-22.918
-54.431,-22.918
-51.566,-22.918
-48.701,-22.918
-45.837,-22.918
-42.972,-22.918
-40.107,-22.918
-37.242,-22.918
-34.377,-22.918
-31.513,-22.918
-28.648,-22.918
-25.783,-22.918
-22.918,-22.918
-20.054,-22.918
-17.189,-22.918
-14.324,-22.918
-11.459,-22.918
-8.594,-22.918
-5.730,-22.918
-2.865,-22.918
0.000,-22.918
2.865,-22.918
5.730,-22.918
8.594,-22.918
11.459,-22.918
14.324,-22.918
17.189,-22.918
20.054,-22.918
22.918,-22.918
25.783,-22.918
28.648,-22.918
31.513,-22.918
34.377,-22.918
37.242,-22.918
40.107,-22.918
42.972,-22.918
45.837,-22.918
48.701,-22.918
51.566,-22.918
54.431,-22.918
57.296,-22.918
60.161,-22.918
63.025,-22.918
65.890,-22.918
68.755,-22.918
71.620,-22.918
